WED,CSE-09,B-201,ML,B-WL-101,AI(L),AI(L),B-205,AI,B-205,UHV,X
THU,CSE-09,---,X,---,X,X,---,X,---,X,X
FRI,CSE-09,---,X,---,X,X,B-WL-101,AD,B-WL-101,AD(L),AD(L)
SAT,CSE-09,B-301,CC|SPM,B-301,AI,ML,---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-10,---,X,B-206,X,CC|SPM,B-301,AI,B-301,ML,X
TUE,CSE-10,---,X,B-206,AI,UHV,B-206,ML,B-206,X,X
WED,CSE-10,B-206,X,B-206,CC|SPM,AI,B-206,ML,B-206,UHV,X
THU,CSE-10,A-LH-003,ML,A-DL-001,AI(L),AI(L),B-204,CC|SPM,B-204,UHV,X
FRI,CSE-10,---,X,---,X,X,---,X,---,X,X
SAT,CSE-10,---,X,---,X,X,B-WL-101,AD,B-WL-101,AD(L),AD(L)
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-11,B-301,AI,B-301,UHV,ML,B-WL-101,AD,B-WL-101,AD(L),AD(L)
TUE,CSE-11,---,X,B-301,CC|SPM,ML,B-301,AI,B-301,X,X
WED,CSE-11,B-301,X,B-301,CC|SPM,AI,---,X,---,X,X
THU,CSE-11,---,X,---,X,X,A-LH-201,X,A-LH-201,ML,UHV
FRI,CSE-11,B-205,ML,B-WL-101,AI(L),AI(L),B-205,CC|SPM,B-205,UHV,X
SAT,CSE-11,---,X,---,X,X,---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-12,---,X,---,X,X,---,X,---,X,X
TUE,CSE-12,B-302,X,B-302,AI,UHV,B-WL-101,AD,B-WL-101,AD(L),AD(L)
WED,CSE-12,---,X,A-LH-205,X,X,B-301,CC|SPM,B-301,UHV,ML
THU,CSE-12,---,X,B-302,X,ML,B-205,AI,B-205,CC|SPM,X
FRI,CSE-12,B-302,ML,B-302,AI,UHV,---,X,---,X,X
SAT,CSE-12,B-202,ML,B-WL-101,AI(L),AI(L),B-406,CC|SPM,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-13,B-205,ML,B-WL-102,AI(L),AI(L),B-302,AI,B-302,UHV,X
TUE,CSE-13,---,X,---,X,X,---,X,---,X,X
WED,CSE-13,---,X,B-302,X,UHV,B-WL-102,AD,B-WL-102,AD(L),AD(L)
THU,CSE-13,---,X,---,X,X,B-206,AI,B-206,CC|SPM,ML
FRI,CSE-13,---,X,B-303,AI,UHV,B-206,ML,B-206,CC|SPM,X
SAT,CSE-13,---,X,B-302,ML,CC|SPM,---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-14,B-302,X,B-302,CC|SPM,UHV,A-LH-207,ML,A-LH-207,AI,X
TUE,CSE-14,B-203,ML,B-WL-102,AI(L),AI(L),B-302,AI,B-302,UHV,X
WED,CSE-14,---,X,---,X,X,---,X,---,X,X
THU,CSE-14,---,X,---,X,X,A-LH-202,CC|SPM,A-LH-202,ML,X
FRI,CSE-14,B-304,ML,B-304,AI,CC|SPM,B-301,UHV,B-301,X,X
SAT,CSE-14,---,X,---,X,X,A-DL-001,AD,A-DL-001,AD(L),AD(L)
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-15,---,X,B-303,X,AI,B-303,CC|SPM,B-303,UHV,ML
TUE,CSE-15,B-303,X,B-303,UHV,CC|SPM,A-LH-201,ML,---,X,X
WED,CSE-15,B-205,ML,B-WL-102,AI(L),AI(L),B-302,AI,B-302,UHV,X
THU,CSE-15,---,X,---,X,X,---,X,---,X,X
FRI,CSE-15,---,X,B-305,X,ML,B-WL-102,AD,B-WL-102,AD(L),AD(L)
SAT,CSE-15,---,X,B-303,AI,CC|SPM,---,X,---,X,X
,,,,,,,,,,,
DAY,Section,ROOM1,8-9,ROOM2,9-10,10-11,ROOM3,11-12,ROOM4,12-1,1-2
MON,CSE-16,B-304,ML,B-304,AI,CC|SPM,---,X,---,X,X
TUE,CSE-16,B-304,X,B-304,UHV,CC|SPM,B-303,AI,B-303,ML,X
WED,CSE-16,B-303,X,B-303,AI,UHV,---,X,---,X,X
THU,CSE-16,---,X,B-305,X,UHV,A-DL-002,ML,A-DL-002,AI(L),AI(L)
FRI,CSE-16,---,X,---,X,X,---,X,---,X,X
